"id";"review_type";"title";"owner";"category";"sol_area";"req_area";"release_label";"rat";"review_start_date";"review_end_date";"primary_tm";"sign_off";"review_summary";"technical_manager";"ra_lead_4g";"ra_lead_5g";"fs1ta_owner";"system_architect";"other_mandatory";"optional_reviewers";"fst";"apo";"other_optional";"comp1";"comp2";"comp3";"comp4";"comp5";"comp6";"comp7";"proj_id"
1;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
4;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
5;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
6;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
7;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
8;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
9;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
10;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
11;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
12;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
13;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"id=""technical_manager"""" name =""""technical_manager""""""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
14;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"id=""technical_manager"""" name =""""technical_manager""""""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
15;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"id=""technical_manager"""" name =""""technical_manager""""""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
16;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"id=""technical_manager"""" name =""""technical_manager""""""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
17;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"id=""technical_manager"""" name =""""technical_manager""""""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
18;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"id=""technical_manager"""" name =""""technical_manager""""""";"id=""ra_lead4g"""" name = 'ra_lead4g""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
19;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"id=""technical_manager"""" name =""""technical_manager""""""";"id=""ra_lead4g"""" name = 'ra_lead4g""";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"";"";"";"";"";"";"";"";"";"";""
20;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"id=""technical_manager"""" name =""""technical_manager""""""";"id=""ra_lead4g"""" name = 'ra_lead4g""";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"";"";"";"";"";"";"";"";""
21;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"id=""technical_manager"""" name =""""technical_manager""""""";"id=""ra_lead4g"""" name = 'ra_lead4g""";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"";"";"";"";"";"";"";"";""
22;"New_Review";"";"fbsbtfgb@gmail.com";"Cloud";"SA/RandT2";"RA/RandT1";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"id=""technical_manager"""" name =""""technical_manager""""""";"id=""ra_lead4g"""" name = 'ra_lead4g""";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";"";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";""
23;"New_Review";"";"fbsbtfgb@gmail.com";"Site_Solution";"SA/RandT7";"RA/RandT7";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"id=""technical_manager"""" name =""""technical_manager""""""";"id=""ra_lead4g"""" name = 'ra_lead4g""";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";"";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";""
24;"New_Review";"";"fbsbtfgb@gmail.com";"Site_Solution";"SA/RandT7";"RA/RandT7";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"id=""technical_manager"""" name =""""technical_manager""""""";"id=""ra_lead4g"""" name = 'ra_lead4g""";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";"";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";""
25;"New_Review";"";"fbsbtfgb@gmail.com";"Site_Solution";"SA/RandT7";"RA/RandT7";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"id=""technical_manager"""" name =""""technical_manager""""""";"id=""ra_lead4g"""" name = 'ra_lead4g""";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";"";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";""
26;"New_Review";"";"fbsbtfgb@gmail.com";"Site_Solution";"SA/RandT7";"RA/RandT7";"23R1";"5G";"";"";"egvawervbarvb@gmail.com";"yes";"egvawervbarvb@gmail.com";"id=""technical_manager"""" name =""""technical_manager""""""";"id=""ra_lead4g"""" name = 'ra_lead4g""";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"edvassrv";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";"";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";"id=""Comp1"""" name = 'Comp1'""";""
